,density,Run,AgentId,Posição,height,width,air_humidity,wind_force
4147,0.65,0,"(63, 81)","(63, 81)",100,100,0.7,0.2
4149,0.65,0,"(63, 86)","(63, 86)",100,100,0.7,0.2
4221,0.65,0,"(65, 5)","(65, 5)",100,100,0.7,0.2
4220,0.65,0,"(65, 4)","(65, 4)",100,100,0.7,0.2
4219,0.65,0,"(65, 0)","(65, 0)",100,100,0.7,0.2
4218,0.65,0,"(64, 99)","(64, 99)",100,100,0.7,0.2
4217,0.65,0,"(64, 98)","(64, 98)",100,100,0.7,0.2
4216,0.65,0,"(64, 97)","(64, 97)",100,100,0.7,0.2
4215,0.65,0,"(64, 96)","(64, 96)",100,100,0.7,0.2
4214,0.65,0,"(64, 95)","(64, 95)",100,100,0.7,0.2
4213,0.65,0,"(64, 94)","(64, 94)",100,100,0.7,0.2
4212,0.65,0,"(64, 93)","(64, 93)",100,100,0.7,0.2
4211,0.65,0,"(64, 92)","(64, 92)",100,100,0.7,0.2
4210,0.65,0,"(64, 89)","(64, 89)",100,100,0.7,0.2
4209,0.65,0,"(64, 87)","(64, 87)",100,100,0.7,0.2
4208,0.65,0,"(64, 86)","(64, 86)",100,100,0.7,0.2
4207,0.65,0,"(64, 84)","(64, 84)",100,100,0.7,0.2
4206,0.65,0,"(64, 81)","(64, 81)",100,100,0.7,0.2
4205,0.65,0,"(64, 79)","(64, 79)",100,100,0.7,0.2
4204,0.65,0,"(64, 78)","(64, 78)",100,100,0.7,0.2
4203,0.65,0,"(64, 77)","(64, 77)",100,100,0.7,0.2
4202,0.65,0,"(64, 75)","(64, 75)",100,100,0.7,0.2
4201,0.65,0,"(64, 74)","(64, 74)",100,100,0.7,0.2
4222,0.65,0,"(65, 6)","(65, 6)",100,100,0.7,0.2
4200,0.65,0,"(64, 73)","(64, 73)",100,100,0.7,0.2
4223,0.65,0,"(65, 7)","(65, 7)",100,100,0.7,0.2
4225,0.65,0,"(65, 9)","(65, 9)",100,100,0.7,0.2
4246,0.65,0,"(65, 37)","(65, 37)",100,100,0.7,0.2
4245,0.65,0,"(65, 36)","(65, 36)",100,100,0.7,0.2
4244,0.65,0,"(65, 33)","(65, 33)",100,100,0.7,0.2
4243,0.65,0,"(65, 32)","(65, 32)",100,100,0.7,0.2
4242,0.65,0,"(65, 31)","(65, 31)",100,100,0.7,0.2
4241,0.65,0,"(65, 30)","(65, 30)",100,100,0.7,0.2
4240,0.65,0,"(65, 29)","(65, 29)",100,100,0.7,0.2
